Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Firefox 62.0,,2018-10-14 06:06:25,2018-10-14 06:07:12,47.381s,PASSED
,,,,,,
Test Cases/Main/Basic,Firefox 62.0,,2018-10-14 06:06:28,2018-10-14 06:07:12,44.167s,PASSED
Start listener action : beforeTestCase,Firefox 62.0,,2018-10-14 06:06:28,2018-10-14 06:06:28,0.039s,PASSED
Statement - mr = MATERIAL_REPOSITORY,Firefox 62.0,,2018-10-14 06:06:29,2018-10-14 06:06:29,0.009s,PASSED
Statement - assert mr != null,Firefox 62.0,,2018-10-14 06:06:29,2018-10-14 06:06:29,0.002s,PASSED
openBrowser,Firefox 62.0,,2018-10-14 06:06:29,2018-10-14 06:06:43,13.677s,PASSED
setViewPortSize,Firefox 62.0,,2018-10-14 06:06:43,2018-10-14 06:06:43,0.225s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 62.0,,2018-10-14 06:06:43,2018-10-14 06:06:43,0.097s,PASSED
"Statement - If (com.kms.katalon.core.configuration.RunConfiguration.getExecutionProfile() == ""develop"")",Firefox 62.0,,2018-10-14 06:06:43,2018-10-14 06:06:48,5.455s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 06:06:48,2018-10-14 06:06:49,0.374s,PASSED
"Statement - png1 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Homepage.png"")",Firefox 62.0,,2018-10-14 06:06:49,2018-10-14 06:06:49,0.038s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 06:06:49,2018-10-14 06:06:54,4.894s,PASSED
callTestCase,Firefox 62.0,,2018-10-14 06:06:54,2018-10-14 06:07:00,5.996s,PASSED
selectOptionByValue,Firefox 62.0,,2018-10-14 06:07:00,2018-10-14 06:07:00,0.544s,PASSED
click,Firefox 62.0,,2018-10-14 06:07:00,2018-10-14 06:07:00,0.304s,PASSED
click,Firefox 62.0,,2018-10-14 06:07:00,2018-10-14 06:07:01,0.257s,PASSED
Statement - visitDate = java.time.LocalDateTime.now().plusWeeks(1),Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.017s,PASSED
"Statement - visitDateStr = java.time.format.DateTimeFormatter.ofPattern(""dd/MM/yyyy"").format(visitDate)",Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.001s,PASSED
setText,Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.371s,PASSED
sendKeys,Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.153s,PASSED
setText,Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.115s,PASSED
"Statement - png3 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Appointment.png"")",Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:01,0.010s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 06:07:01,2018-10-14 06:07:05,3.240s,PASSED
click,Firefox 62.0,,2018-10-14 06:07:05,2018-10-14 06:07:05,0.498s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 06:07:05,2018-10-14 06:07:05,0.052s,PASSED
Statement - facility = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_facility)),Firefox 62.0,,2018-10-14 06:07:05,2018-10-14 06:07:05,0.069s,PASSED
